409,2,728,409
479,1,446,479
146,0,723,146
402,2,836,402
282,1,708,282
261,1,287,261
322,1,0,322
437,1,413,437
518,2,924,518
305,1,731,305
408,1,343,408
336,1,14,336
178,1,607,178
176,1,605,176
527,0,745,527
484,0,825,484
164,0,696,164
469,1,813,469
307,1,733,307
441,1,417,441
294,1,720,294
366,0,0,366
392,0,26,392
246,1,796,246
388,0,22,388
460,2,883,460
571,2,950,571
183,2,115,183
378,0,12,378
142,0,262,142
583,1,111,583
196,2,149,196
526,2,926,526
207,2,160,207
433,1,409,433
276,1,702,276
112,0,232,112
215,0,607,215
173,1,602,173
425,1,401,425
9,1,954,9
98,0,218,98
6,0,852,6
1,1,108,1
458,0,8,458
165,1,594,165
224,2,156,224
126,0,246,126
587,1,657,587
139,0,259,139
290,1,716,290
454,1,421,454
133,0,577,133
517,2,378,517
95,0,215,95
537,2,916,537
413,1,269,413
569,2,98,569
356,2,386,356
180,1,609,180
204,2,136,204
555,0,787,555
291,1,717,291
313,1,739,313
104,0,224,104
370,0,4,370
444,1,420,444
210,2,111,210
609,2,315,609
592,2,298,592
550,2,950,550
416,1,392,416
260,1,286,260
320,1,746,320
275,1,677,275
118,0,733,118
121,0,241,121
390,0,602,390
445,0,886,445
119,0,239,119
263,1,289,263
21,0,724,21
481,1,835,481
404,0,38,404
448,1,424,448
417,1,393,417
359,1,37,359
318,1,744,318
418,1,394,418
339,0,614,339
353,0,754,353
593,2,593,593
25,0,901,25
51,0,612,51
576,2,955,576
216,2,148,216
193,0,5,193
324,1,2,324
3,1,948,3
467,1,434,467
545,2,945,545
46,0,607,46
287,1,60,287
612,0,420,612
519,1,486,519
399,1,351,399
603,2,309,603
288,1,714,288
501,1,468,501
584,2,574,584
572,2,105,572
427,1,403,427
189,1,356,189
442,0,708,442
472,1,439,472
63,0,639,63
426,1,407,426
12,1,957,12
170,1,599,170
521,1,46,521
534,2,913,534
544,2,944,544
385,0,19,385
166,1,595,166
49,0,610,49
38,2,393,38
529,2,908,529
61,2,65,61
75,0,925,75
570,2,949,570
446,1,422,446
116,0,236,116
549,2,949,549
349,0,150,349
478,1,445,478
602,2,308,602
375,0,9,375
351,1,29,351
443,2,254,443
186,0,824,186
500,1,467,500
451,1,418,451
264,1,295,264
155,1,584,155
522,1,492,522
185,0,890,185
450,1,892,450
8,2,516,8
476,1,443,476
459,1,788,459
102,0,222,102
94,0,214,94
387,1,880,387
117,2,457,117
604,1,222,604
167,1,969,167
161,1,590,161
558,2,937,558
229,2,161,229
39,1,984,39
124,2,722,124
154,1,956,154
29,1,974,29
171,1,414,171
238,1,264,238
107,0,227,107
56,0,617,56
551,2,951,551
192,2,124,192
265,1,691,265
373,0,7,373
48,0,148,48
489,1,456,489
172,2,375,172
143,0,263,143
383,0,17,383
449,1,416,449
536,2,936,536
440,1,416,440
269,1,768,269
364,1,42,364
306,0,110,306
462,1,719,462
145,0,265,145
120,0,240,120
225,1,923,225
2,0,867,2
252,1,278,252
